STAID,STANAME,DRAIN_SQKM,STOR_NID_2009_MM3,RUNAVE7100_MM3,STO_RATIO,ROADS_KM_SQ_KM,RD_STR_INTERS,IMPNLCD06,NLCD01_06_DEV
03040000,"Stonycreek River at Ferndale, PA",1171.475,106.03,749.5987371,0.14,1.889,0.773,0.996,0.017
03041000,"Little Conemaugh River at East Conemaugh, PA",480.6927,29.68,307.0530374,0.10,2.157,0.665,1.700,0.045
03041029,"Conemaugh River at Minersville, PA",1747.217,140.65,1117.369558,0.13,2.191,0.812,1.640,0.040
03041500,"Conemaugh River at Seward, PA",1863.592,140.65,1191.965743,0.12,2.202,0.809,1.684,0.040
03042000,"Blacklick Creek at Josephine, PA",499.2651,6.49,319.8537869,0.02,1.871,0.611,0.953,0.000
03042280,"Yellow Creek near Homer City, PA",154.4994,46.93,99.03139621,0.47,1.853,0.586,0.452,0.000
03042500,"Two Lick Creek at Graceton, PA",440.8776,75.35,282.3339149,0.27,2.493,0.855,2.463,0.225
03044000,"Conemaugh River at Tunnelton, PA",3525.936,663.26,2257.339839,0.29,2.164,0.785,1.659,0.067
03045000,"Loyalhanna Creek at Kingston, PA",444.0222,10.06,273.4667015,0.04,2.225,0.966,0.939,0.013
03047000,"Loyalhanna Creek at Loyalhanna Dam, PA",752.0112,12.97,464.3618775,0.03,2.549,1.010,2.625,0.442
03048500,"Kiskiminetas River at Vandergrift, PA",4728.982,767.73,2999.572475,0.26,2.249,0.837,1.881,0.123
03049000,"Buffalo Creek near Freeport, PA",357.1533,0.06,179.1448809,0.00,2.011,0.836,0.885,0.030
03049500,"Allegheny River at Natrona, PA",29543.64,3758.52,19047.71238,0.20,1.742,0.668,1.003,0.045
03049646,"Deer Creek near Dorseyville, PA",69.4557,0.03,34.51670467,0.00,3.533,1.079,5.707,3.023
03049658,"Plum Creek at Milltown, PA",44.8245,0.00,22.25574974,0.00,4.159,1.532,14.585,1.885
03049676,"Squaw Run at Old Freeport Road near Blawnox, PA",22.0626,0.07,10.9651122,0.01,4.805,1.722,10.065,0.143
03049800,"Little Pine Creek near Etna, PA",14.8878,0.00,7.3992366,0.00,3.208,1.413,4.626,0.018
03049807,"Pine Creek at Grant Avenue at Etna, PA",153.7164,2.72,76.26882058,0.04,4.998,1.467,11.868,1.920
03050000,"TYGART VALLEY RIVER NEAR DAILEY, WV",487.287,3.90,354.4078309,0.01,1.122,0.606,0.309,0.000
03050500,"TYGART VALLEY RIVER NEAR ELKINS, WV",707.9807,4.44,514.6683398,0.01,1.380,0.652,0.890,0.024
03051000,"TYGART VALLEY RIVER AT BELINGTON, WV",1076.024,4.61,781.4528534,0.01,1.455,0.645,0.933,0.020
03052000,"MIDDLE FORK RIVER AT AUDRA, WV",386.9613,7.52,280.1599812,0.03,1.202,0.406,0.144,0.000
03052500,"SAND RUN NEAR BUCKHANNON, WV",37.323,0.23,27.021852,0.01,2.236,0.741,0.527,0.000
03053500,"BUCKHANNON RIVER AT HALL, WV",697.7826,0.23,502.4729014,0.00,1.823,0.609,1.047,0.009
03054500,"TYGART VALLEY RIVER AT PHILIPPI, WV",2360.572,14.27,1708.108955,0.01,1.572,0.607,0.828,0.012
03056000,"TYGART VALLEY R AT TYGART DAM NR GRAFTON, WV",3053.8,454.28,2210.161182,0.21,1.609,0.666,0.734,0.009
03056250,"THREE FORK CREEK NR GRAFTON, WV",250.515,0.78,180.6186595,0.00,2.002,0.830,0.541,0.000
03057000,"TYGART VALLEY RIVER AT COLFAX, WV",3514.229,455.45,2541.706538,0.18,1.678,0.698,0.772,0.008
03058000,WEST FORK R BL STONEWALL JACKSON DAM NR WESTON,261.5526,178.79,143.3561954,1.25,1.217,0.623,0.530,0.000
03058500,"W.F. RIVER AT BUTCHERVILLE, WV",489.7152,215.38,272.0651481,0.79,1.603,0.820,1.394,0.003
03059000,"WEST FORK RIVER AT CLARKSBURG, WV",1015.529,220.19,560.4474026,0.39,1.701,0.861,1.265,0.005
03059500,"ELK CREEK AT QUIET DELL, WV",218.0898,0.00,120.1586908,0.00,1.717,0.877,0.513,0.000
03061000,"WEST FORK RIVER AT ENTERPRISE, WV",1985.226,230.78,1092.841304,0.21,1.949,0.940,1.795,0.066
03061500,"BUFFALO CREEK AT BARRACKVILLE, WV",300.1365,10.46,161.1136334,0.06,1.823,1.082,0.564,0.000
03062400,"COBUN CREEK AT MORGANTOWN, WV",28.6074,0.00,15.48552891,0.00,2.117,0.463,3.106,0.000
03062500,"DECKERS CREEK AT MORGANTOWN, WV",163.7982,6.17,89.94997809,0.07,3.144,1.002,3.410,0.458
03065000,"DRY FORK AT HENDRICKS, WV",897.9021,0.28,796.2631739,0.00,0.899,0.323,0.095,0.000
03065400,"BLACKWATER R NR DAVIS,WV",142.4025,0.41,126.8732368,0.00,1.132,0.287,0.284,0.000
03066000,"BLACKWATER R AT DAVIS, WV",222.7851,0.41,197.751117,0.00,1.133,0.341,0.315,0.000
03067510,"SHAVERS FORK NR CHEAT BRIDGE, WV",154.6461,0.00,135.6134952,0.00,0.830,0.201,0.207,0.019
03068800,"SHAVERS FORK BELOW BOWDEN, WV",388.3293,0.00,343.3973088,0.00,0.808,0.211,0.192,0.007
03069000,"SHAVERS FORK AT PARSONS, WV",550.9998,0.00,488.4504129,0.00,0.913,0.259,0.207,0.005
03069500,"CHEAT RIVER NEAR PARSONS, WV",1856.853,2.24,1647.987676,0.00,0.975,0.316,0.223,0.002
03069870,"CHEAT RIVER AT HWY 50 NEAR ROWLESBURG, WV",2350.885,2.24,2089.138875,0.00,1.023,0.348,0.210,0.001
03070000,"CHEAT RIVER AT ROWLESBURG, WV",2422.203,2.24,2152.636997,0.00,1.036,0.353,0.213,0.001
03070500,"BIG SANDY CREEK AT ROCKVILLE, WV",517.3794,13.62,460.2137879,0.03,1.449,0.488,0.561,0.094
03072000,"Dunkard Creek at Shannopin, PA",588.3783,13.58,248.5147547,0.05,1.593,0.848,0.438,0.000
03072500,"Monongahela River at Greensboro, PA",11349.65,883.85,8012.672441,0.11,1.705,0.718,1.064,0.057
03072655,"Monongahela River near Masontown, PA",11547.25,899.31,8096.537939,0.11,1.715,0.723,1.086,0.058
03073000,"South Fork Tenmile Creek at Jefferson, PA",467.1702,15.19,196.7119167,0.08,1.965,0.844,1.015,0.039
03074500,"Redstone Creek at Waltersburg, PA",191.1114,0.11,81.39755593,0.00,3.230,1.036,7.474,1.304
03075000,"Monongahela River at Charleroi, PA",13500.58,1015.45,8921.111711,0.11,1.819,0.753,1.290,0.086
03075070,"Monongahela River at Elizabeth, PA",13824.03,1050.55,9057.62196,0.12,1.850,0.769,1.369,0.094
03075500,"YOUGHIOGHENY RIVER NEAR OAKLAND, MD",347.6025,11.09,234.8704557,0.05,2.090,0.806,1.069,0.016
03075905,"CHERRY CREEK AT STATE PARK ROAD NEAR MCHENRY, MD",31.7025,0.00,21.30408,0.00,1.119,0.271,0.087,0.000
03076500,"YOUGHIOGHENY RIVER AT FRIENDSVILLE, MD",761.7645,190.88,512.9287937,0.37,2.049,0.628,0.711,0.025
03076600,"BEAR CREEK AT FRIENDSVILLE, MD",127.3991,0.00,85.6121952,0.00,1.557,0.705,0.393,0.000
03077500,"Youghiogheny River at Youghiogheny River Dam, PA",1122.037,560.82,755.6961832,0.74,1.965,0.637,0.691,0.017
03078000,"CASSELMAN RIVER AT GRANTSVILLE, MD",161.4825,0.33,108.1888665,0.00,1.647,0.751,0.440,0.000
03079000,"Casselman River at Markleton, PA",990.8361,9.39,663.1928589,0.01,1.849,0.705,0.952,0.035
03080000,"Laurel Hill Creek at Ursina, PA",313.3376,5.83,210.2467409,0.03,1.860,0.742,0.461,0.060
03081000,"Youghiogheny River below Confluence, PA",2659.891,586.55,1786.143671,0.33,1.854,0.661,0.733,0.027
03081500,"Youghiogheny River at Ohiopyle, PA",2745.419,586.55,1843.635888,0.32,1.841,0.660,0.717,0.027
03082500,"Youghiogheny River at Connellsville, PA",3426.338,588.42,2301.053564,0.26,1.837,0.680,0.834,0.031
03083000,"Green Lick Run at Green Lick Reservoir, PA",8.253,0.00,5.546016,0.00,0.690,0.112,0.286,0.000
03083500,"Youghiogheny River at Sutersville, PA",4429.456,772.89,2973.970865,0.26,2.153,0.859,1.788,0.194
03084000,"Abers Creek near Murrysville, PA",11.2995,0.00,4.856177075,0.00,6.109,2.295,24.693,0.000
03084698,"Turtle Creek at Wilmerding, PA",314.2512,0.98,139.0623153,0.01,4.589,1.731,13.091,1.842
03084800,"Thompson Run at Turtle Creek, PA",40.0662,0.00,17.09454873,0.00,6.896,2.413,28.925,1.146
03085000,"Monongahela River at Braddock, PA",18994,1861.91,12381.68336,0.15,2.054,0.827,2.060,0.180
03085049,"Nine Mile Run near Swissvale, PA",15.8355,0.00,6.75915356,0.00,14.086,0.729,40.476,1.114
03085213,"Sawmill Run at Duquesne Heights nr Pittsburgh, PA",46.5246,0.00,18.50553185,0.00,13.403,3.669,33.481,0.460
03085500,"Chartiers Creek at Carnegie, PA",666.8838,9.69,261.6852031,0.04,3.748,1.454,8.823,2.920
03085956,"Montour Run at Scott Station near Imperial, PA",67.0617,2.13,26.2881864,0.08,3.397,1.405,21.024,7.069
03086500,Mahoning River at Alliance OH,231.6942,2.60,92.84487053,0.03,2.326,1.062,3.823,0.049
03089500,Mill Creek near Berlin Center OH,49.8213,0.00,19.97546661,0.00,1.365,0.681,0.829,0.000
03090500,Mahoning River bl Berlin Dam nr Berlin Center OH,645.7941,197.34,259.1721548,0.76,1.970,0.912,3.111,0.164
03091500,Mahoning River at Pricetown OH,708.7518,254.80,284.4174905,0.90,1.991,0.884,3.039,0.153
03092000,Kale Creek near Pricetown OH,58.3236,0.00,23.3877636,0.00,1.458,0.838,1.116,0.052
03092090,West Branch Mahoning River near Ravenna OH,55.4994,0.16,22.37625919,0.01,1.580,0.673,2.693,0.482
03092460,West Branch Mahoning River at Wayland OH,209.0214,153.53,84.32370582,1.82,1.570,0.658,2.413,0.220
03092500,West Branch Mahoning River near Newton Falls OH,247.869,153.53,99.90159271,1.54,1.554,0.679,2.188,0.185
03093000,Eagle Creek at Phalanx Station OH,251.7975,0.08,101.8847972,0.00,1.512,0.631,1.626,0.022
03094000,Mahoning River at Leavittsburg OH,1487.505,409.94,598.35439,0.69,1.825,0.797,2.646,0.169
03095500,Mosquito Creek bl Mosquito Ck Dam nr Cortland OH,245.4543,222.11,99.46976598,2.23,1.349,0.761,1.965,0.082
03097550,Mahoning River at Ohio Edison P Plt at Niles OH,2201.038,709.14,885.6318802,0.80,2.027,0.841,4.356,0.380
03098000,Mahoning River at Youngstown OH,2317.24,717.73,932.3695526,0.77,2.138,0.850,4.952,0.401
03098500,Mill Creek at Youngstown OH,174.0546,1.33,69.7426687,0.02,3.668,1.490,12.122,1.704
03098600,Mahoning River below West Ave at Youngstown OH,2525.609,719.54,1015.872172,0.71,2.327,0.898,5.765,0.488
03098700,Crab Creek at Youngstown OH,32.634,0.00,13.1888973,0.00,3.914,1.039,10.789,0.993
03099500,Mahoning River at Lowellville OH,2746.113,745.08,1104.598415,0.67,2.552,0.920,6.663,0.531
03101500,"Shenango River at Pymatuning Dam, PA",420.1992,549.30,204.8927016,2.68,1.731,0.669,1.653,0.000
03102500,"Little Shenango River at Greenville, PA",241.7346,24.17,119.3259035,0.20,1.711,0.759,1.040,0.000
03102850,"Shenango River near Transfer, PA",870.5376,576.39,425.0036818,1.36,1.861,0.738,1.759,0.025
03102950,Pymatuning Creek at Kinsman OH,250.776,0.25,121.3272093,0.00,1.132,0.694,0.811,0.000
03103500,"Shenango River at Sharpsville, PA",1523.407,1009.62,741.3824693,1.36,1.670,0.721,1.546,0.059
03105500,"Beaver River at Wampum, PA",5752.941,1761.95,2551.424156,0.69,2.317,0.875,4.699,0.340
03106000,"Connoquenessing Creek near Zelienople, PA",921.4443,13.15,451.674857,0.03,2.666,0.959,4.028,0.804
03106300,"Muddy Creek near Portersville, PA",132.7041,120.83,65.025009,1.86,1.792,0.591,1.053,0.000
03106500,"Slippery Rock Creek at Wurtemburg, PA",1043.36,131.65,512.2635717,0.26,1.957,0.709,1.487,0.083
03107500,"Beaver River at Beaver Falls, PA",8034.329,1907.06,3669.851705,0.52,2.357,0.878,4.349,0.430
03108000,"Raccoon Creek at Moffatts Mill, PA",463.4865,26.56,181.686708,0.15,2.220,0.877,2.008,0.576
03109500,Little Beaver Creek near East Liverpool OH,1304.177,27.83,512.2129084,0.05,2.336,0.987,2.090,0.130
03110000,Yellow Creek near Hammondsville OH,381.4083,2.00,149.5203683,0.01,1.565,0.558,0.372,0.000
03110830,"KINGS CREEK AT WEIRTON, WV",126.7794,0.00,49.6975248,0.00,2.287,1.173,1.368,0.080
03111150,"Brush Run near Buffalo, PA",27.0369,0.00,11.52899919,0.00,1.898,0.872,0.484,0.000
03111500,Short Creek near Dillonvale OH,318.8142,21.48,136.518791,0.16,1.781,0.777,1.175,0.012
03111548,Wheeling Creek below Blaine OH,253.1448,0.00,108.4982916,0.00,1.828,0.733,1.087,0.119
03112000,"WHEELING CREEK AT ELM GROVE, WV",731.0889,128.82,313.5847921,0.41,1.813,0.780,0.877,0.353
03113990,Captina Creek at S.R. 148 at Armstrongs Mills OH,328.7682,33.89,141.0365276,0.24,1.778,0.506,0.598,0.000
03114000,Captina Creek at Armstrongs Mills OH,346.3641,33.89,148.5851766,0.23,1.752,0.510,0.578,0.000
03114500,"MIDDLE ISLAND CREEK AT LITTLE, WV",1187.292,1.31,613.9267283,0.00,1.367,0.787,0.270,0.000
03115400,Little Muskingum River at Bloomfield OH,544.2678,0.22,281.1513833,0.00,1.665,0.512,0.286,0.000
03115973,Schocalog Run at Copley Junction OH,9.0279,0.00,3.633485997,0.00,6.169,1.434,31.298,1.446
03116000,TUSCARAWAS R AT CLINTON OH,456.7365,32.12,181.9177369,0.18,4.435,0.990,14.759,1.536
03116077,Chippewa Creek at Miller Rd at Sterling OH,128.9772,2.57,50.66263109,0.05,1.974,0.822,3.181,0.491
03116200,Chippewa Creek at Easton OH,378.3231,14.93,148.8124834,0.10,2.148,0.883,4.830,0.317
03117000,Tuscarawas River at Massillon OH,1336.8,74.97,527.6501995,0.14,3.335,0.949,9.310,0.958
03117500,Sandy Creek at Waynesburg OH,656.2251,19.75,258.5851725,0.08,1.889,0.895,1.188,0.013
03118000,Middle Branch Nimishillen Creek at Canton OH,116.2062,0.00,45.96813974,0.00,2.856,0.831,6.685,1.871
03118500,Nimishillen Creek at North Industry OH,453.5037,0.07,178.8776866,0.00,4.893,1.128,16.325,1.248
03120500,McGuire Creek near Leesville OH,124.7067,46.65,49.13271885,0.95,1.737,0.589,0.227,0.000
03121850,Huff Run at Mineral City OH,31.4649,0.00,12.3971706,0.00,2.134,0.881,0.468,0.000
03122500,Tuscarawas River below Dover Dam near Dover OH,3633.969,638.63,1432.976818,0.45,2.830,0.895,6.140,0.552
03123000,Sugar Creek above Beach City Dam at Beach City OH,413.1558,0.30,162.5932096,0.00,1.811,0.905,2.488,0.306
03124000,Sugar Creek bl Beach City Dam near Beach City OH,775.1844,88.77,305.1811061,0.29,1.905,0.915,2.108,0.191
03124500,Sugar Creek at Strasburg OH,803.0898,88.77,316.1758118,0.28,1.938,0.906,2.184,0.243
03125000,HOME C NR NEW PHILADELPHIA OH,4.203,0.00,1.655982,0.00,2.534,1.129,1.509,0.000
03126000,Stillwater Creek at Piedmont OH,316.4706,86.34,124.8449617,0.69,1.462,0.526,0.617,0.000
03127000,Stillwater Creek at Tippecanoe OH,729.5833,153.98,287.6029772,0.54,1.440,0.535,0.410,0.000
03127500,Stillwater Creek at Uhrichsville OH,949.8933,154.16,374.4089932,0.41,1.468,0.562,0.408,0.000
03128500,Little Stillwater Creek bl Tappan Dam at Tappan OH,184.59,76.01,72.7551148,1.04,1.436,0.631,0.432,0.000
03129000,Tuscarawas River at Newcomerstown OH,6319.039,958.36,2490.843216,0.38,2.423,0.845,4.282,0.386
03130000,Black Fork below Charles Mill Dam near Mifflin OH,566.2638,111.18,208.557619,0.53,1.777,0.833,1.926,0.104
03130500,Touby Run at Mansfield OH,12.078,0.00,4.456782,0.00,5.173,2.616,22.444,1.721
03131500,Black Fork at Loudonville OH,903.7683,111.46,333.0968212,0.33,2.244,0.904,4.008,0.273
03132000,Clear Fork at Butler OH,355.5099,33.22,130.8994206,0.25,1.960,0.909,1.809,0.086
03133500,Clear Fork bl Pleasant Hill Dam nr Perrysville OH,514.8999,141.72,189.7191418,0.75,1.899,0.892,1.400,0.059
03135000,Lake Fork bl Mohicanville Dam near Mohicanville OH,689.6097,131.98,254.4114312,0.52,1.996,0.844,1.977,0.045
03136000,Mohican River at Greer OH,2447.951,385.66,902.572263,0.43,2.043,0.862,2.428,0.126
03136500,Kokosing River at Mount Vernon OH,520.659,38.87,192.1527444,0.20,1.576,0.724,0.889,0.006
03137000,Kokosing River at Millwood OH,1175.515,68.19,434.8159454,0.16,1.787,0.755,1.254,0.006
03138500,Walhonding River below Mohawk Dam at Nellie OH,3885.024,805.58,1434.078521,0.56,1.944,0.828,1.931,0.081
03139000,Killbuck Creek at Killbuck OH,1202.849,3.39,445.4375983,0.01,1.908,0.796,2.441,0.263
03140000,Mill Creek near Coshocton OH,70.3458,0.00,26.08313228,0.00,1.548,0.754,0.413,0.000
03140500,Muskingum River near Coshocton OH,12559.69,1779.93,4807.05556,0.37,2.173,0.823,3.089,0.251
03141500,Seneca Fork bl Senecaville Dam near Senecaville OH,305.8938,109.52,121.6990836,0.90,1.624,0.661,0.396,0.000
03141870,Leatherwood Creek near Kipling OH,177.5142,0.44,70.13669474,0.01,1.719,0.618,0.629,0.000
03142000,Wills Creek at Cambridge OH,1051.428,118.63,418.1735236,0.28,1.832,0.726,1.012,0.069
03143500,Wills Creek bl Wills Creek Dam at Wills Creek OH,2182.93,554.32,865.0923212,0.64,1.767,0.672,0.929,0.037
03144000,Wakatomika Creek near Frazeysburg OH,363.4146,0.00,144.9206208,0.00,1.659,0.792,0.274,0.000
03144500,Muskingum River at Dresden OH,15505.69,2340.46,5976.424771,0.39,2.091,0.794,2.678,0.209
03144816,South Fork Licking River at Kirkersville OH,120.9591,0.37,50.76753823,0.01,2.130,0.921,2.827,0.408
03145000,South Fork Licking River near Hebron OH,345.8997,25.09,145.6910858,0.17,2.148,0.893,3.209,0.317
03145483,Raccoon Creek near Granville OH,205.7877,0.04,86.90754121,0.00,1.515,0.714,1.093,0.022
03146277,North Fork Licking River at Newark OH,588.205,0.28,249.1191109,0.00,1.408,0.668,0.891,0.011
03146405,"North Fork Licking River at Ohio Street, Newark OH",623.6694,0.37,264.1914719,0.00,1.574,0.725,1.629,0.042
03146500,Licking River near Newark OH,1395.075,25.75,590.3372864,0.04,1.914,0.796,2.794,0.166
03147500,Licking River bl Dillon Dam near Dillon Falls OH,1924.63,363.99,814.9949665,0.45,1.823,0.768,2.162,0.121
03149500,Salt Creek near Chandlersville OH,196.1424,0.13,78.25385454,0.00,1.576,0.528,1.358,0.006
03150000,Muskingum River at McConnelsville OH,19210.13,2729.95,7504.58136,0.36,2.042,0.776,2.535,0.196
03151400,"L KANAWHA RIVER NR WILDCAT, WV",290.7306,0.00,149.1664863,0.00,1.504,0.745,0.224,0.000
03151500,"L KANAWHA R NR BURNSVILLE, WV",400.2732,0.00,204.83973,0.00,1.416,0.669,0.233,0.000
03152000,"LITTLE KANAWHA RIVER AT GLENVILLE, WV",1002.993,88.82,511.0532179,0.17,1.352,0.785,0.471,0.039
03153000,"STEER CREEK NEAR GRANTSVILLE, WV",429.4737,0.00,218.5985057,0.00,1.245,0.851,0.131,0.000
03153500,"LITTLE KANAWHA RIVER AT GRANTSVILLE, WV",2365.023,88.82,1202.802688,0.07,1.363,0.800,0.326,0.017
03154000,"W.FORK LITTLE KANAWHA RIVER AT ROCKSDALE,WV",530.5158,0.00,269.840018,0.00,1.385,0.900,0.177,0.000
03154500,"REEDY CREEK NEAR REEDY, WV",206.3142,0.00,104.2334412,0.00,1.338,0.793,0.316,0.000
03155000,"LITTLE KANAWHA RIVER AT PALESTINE, WV",3924.7,94.51,1993.802546,0.05,1.404,0.783,0.313,0.010
03155500,"HUGHES RIVER AT CISCO, WV",1174.073,55.73,595.3236943,0.09,1.458,0.729,0.358,0.000
03156000,Hunters Run at Lancaster OH,25.7346,4.08,10.3453092,0.39,1.721,0.844,0.765,0.171
03157000,Clear Creek near Rockbridge OH,228.8763,2.22,91.73236222,0.02,1.483,0.706,0.603,0.028
03157500,Hocking River at Enterprise OH,1194.712,67.64,479.133513,0.14,1.946,0.724,1.836,0.200
03158200,Monday Creek at Doanville OH,294.9831,0.08,118.5808168,0.00,1.639,0.735,0.500,0.005
03159000,Sunday Creek at Glouster OH,251.7507,33.51,101.1868134,0.33,1.701,0.467,0.617,0.000
03159246,Sunday Creek below Millfield OH,326.4552,33.51,131.2180147,0.26,1.796,0.629,0.725,0.004
03159500,Hocking River at Athens OH,2447.092,126.26,982.3033505,0.13,1.959,0.742,1.579,0.141
03159540,Shade River near Chester OH,400.851,0.63,154.8115022,0.00,1.594,0.584,0.565,0.355
03161000,"SOUTH FORK NEW RIVER NEAR JEFFERSON, NC",527.8624,2.90,276.2344057,0.01,2.834,1.169,1.173,0.087
03164000,"NEW RIVER NEAR GALAX, VA",2952.736,9.26,1542.074939,0.01,1.954,0.954,0.520,0.016
03165000,"CHESTNUT CREEK AT GALAX, VA",101.9961,0.00,53.15286041,0.00,2.245,0.823,0.613,0.000
03165500,"NEW RIVER AT IVANHOE, VA",3496.531,13.24,1825.818208,0.01,1.998,0.929,0.610,0.015
03167000,"REED CREEK AT GRAHAMS FORGE, VA",668.9571,3.01,348.7500808,0.01,1.664,0.781,1.688,0.233
03167500,"BIG REED ISLAND CREEK NEAR ALLISONIA, VA",691.2693,0.76,360.3293071,0.00,1.852,0.679,0.250,0.000
03168000,"NEW RIVER AT ALLISONIA, VA",5728.39,17.12,2989.77964,0.01,1.898,0.859,0.704,0.036
03170000,"LITTLE RIVER AT GRAYSONTOWN, VA",794.6403,0.47,412.1832611,0.00,1.763,0.753,0.399,0.000
03171000,"NEW RIVER AT RADFORD, VA",7167.697,312.07,3736.919687,0.08,1.921,0.840,0.833,0.049
03171500,"NEW RIVER AT EGGLESTON, VA",7672.041,312.07,3994.056105,0.08,1.958,0.836,1.167,0.089
03173000,"WALKER CREEK AT BANE, VA",773.3151,0.75,334.0350814,0.00,1.033,0.580,0.252,0.000
03175500,"WOLF CREEK NEAR NARROWS, VA",578.2518,0.55,249.4796266,0.00,1.011,0.730,0.425,0.000
03176500,"NEW RIVER AT GLEN LYN, VA",9781.729,313.27,4903.521079,0.06,1.797,0.802,1.062,0.071
03177710,"BLUESTONE RIVER AT FALLS MILLS, VA",114.8751,0.00,49.57677327,0.00,3.454,1.533,9.556,0.604
03178500,"CAMP CREEK NEAR CAMP CREEK, WV",81.3969,0.00,35.30109482,0.00,0.954,0.561,0.529,0.000
03179000,"BLUESTONE RIVER NEAR PIPESTEM, WV",1024.424,20.99,442.1035972,0.05,2.498,1.034,3.980,0.293
03180000,"NEW RIVER AT BLUESTONE DAM, WV",11939.71,1116.19,5837.007817,0.19,1.836,0.812,1.299,0.083
03180500,"GREENBRIER RIVER AT DURBIN, WV",345.0564,0.51,182.6500844,0.00,1.112,0.319,0.131,0.000
03182500,"GREENBRIER RIVER AT BUCKEYE, WV",1364.974,1.29,716.5508817,0.00,1.165,0.408,0.207,0.000
03183000,"SECOND CREEK NEAR SECOND CREEK, WV",219.9314,2.70,114.4600202,0.02,1.284,0.758,0.608,0.000
03183500,"GREENBRIER RIVER AT ALDERSON, WV",3547.473,13.42,1858.995047,0.01,1.252,0.528,0.569,0.014
03184000,"GREENBRIER RIVER AT HILLDALE, WV",4225.824,13.42,2208.600291,0.01,1.291,0.557,0.615,0.012
03184500,"NEW RIVER AT HINTON, WV",16243.85,1129.61,8089.451919,0.14,1.695,0.752,1.125,0.064
03185000,"PINEY CREEK AT RALEIGH, WV",136.674,0.00,83.63225568,0.00,3.586,1.262,7.140,0.392
03185400,"NEW RIVER AT THURMOND, WV",17348.47,1141.39,8771.714318,0.13,1.715,0.755,1.265,0.078
03186500,"WILLIAMS RIVER AT DYER, WV",329.6805,0.01,253.7065848,0.00,0.607,0.203,0.044,0.000
03187000,"GAULEY RIVER AT CAMDEN ON GAULEY, WV",611.4807,8.97,470.568397,0.02,1.019,0.364,0.218,0.000
03187500,"CRANBERRY RIVER NEAR RICHWOOD, WV",207.415,0.00,159.6954458,0.00,0.665,0.223,0.045,0.000
03189000,"CHERRY RIVER AT FENWICK, WV",390.4425,0.76,299.3610107,0.00,1.320,0.477,0.319,0.000
03189100,"GAULEY RIVER NEAR CRAIGSVILLE, WV",1369.11,9.73,1053.267139,0.01,1.089,0.395,0.259,0.000
03189600,"GAULEY RIVER BELOW SUMMERSVILLE, WV",2084.672,522.66,1605.316058,0.33,1.319,0.462,0.560,0.011
03190000,"MEADOW RIVER AT NALLEN, WV",742.086,0.74,569.5305976,0.00,1.527,0.558,0.777,0.050
03190400,"MEADOW RIVER NEAR MT. LOOKOUT, WV",944.6616,0.74,725.8467051,0.00,1.493,0.498,0.792,0.040
03191500,"PETERS CREEK NEAR LOCKWOOD, WV",104.7309,1.24,80.8522548,0.02,1.731,1.343,0.486,0.107
03192000,"GAULEY RIVER ABOVE BELVA, WV",3407.807,524.64,2623.233388,0.20,1.390,0.523,0.625,0.021
03193000,"KANAWHA RIVER AT KANAWHA FALLS, WV",21702.95,1702.10,12021.70892,0.14,1.664,0.722,1.184,0.069
03194700,"ELK RIVER BELOW WEBSTER SPRINGS, WV",689.0697,0.00,471.0013969,0.00,1.208,0.452,0.198,0.000
03195500,"ELK RIVER AT SUTTON, WV",1401.769,327.11,957.0361975,0.34,1.166,0.553,0.215,0.000
03196600,"ELK RIVER NEAR FRAMETOWN, WV",1943.463,327.11,1326.908498,0.25,1.302,0.686,0.457,0.004
03196800,"ELK RIVER AT CLAY, WV",2568.768,333.15,1754.078605,0.19,1.330,0.700,0.400,0.003
03197000,"ELK RIVER AT QUEEN SHOALS, WV",2950.136,333.15,2014.88123,0.17,1.373,0.758,0.371,0.003
03198000,"KANAWHA RIVER AT CHARLESTON, WV",27095.16,2113.47,15682.00665,0.13,1.645,0.770,1.150,0.058
03198350,"CLEAR FORK AT WHITESVILLE, WV",165.0266,5.03,81.06545563,0.06,0.873,0.954,0.555,0.000
03198500,"BIG COAL RIVER AT ASHFORD, WV",1013.508,141.98,496.9663505,0.29,1.161,0.822,0.730,0.044
03199000,"LITTLE COAL RIVER AT DANVILLE, WV",696.3111,95.09,339.8700746,0.28,1.090,0.708,1.043,0.021
03200500,"COAL RIVER AT TORNADO, WV",2223.267,250.78,1087.120647,0.23,1.222,0.889,0.955,0.026
03201000,"POCATALICO RIVER AT SISSONVILLE, WV",617.2038,24.77,304.2050018,0.08,1.840,0.977,0.331,0.000
03201405,"HURRICANE CREEK AT HURRICANE, WV",72.6048,0.96,35.59422004,0.03,3.195,1.594,7.319,0.227
03201800,Sandy Run near Lake Hope OH,13.7889,0.00,5.5017711,0.00,1.102,0.531,0.124,0.000
03201902,Raccoon Creek near Bolins Mills OH,530.1495,3.42,211.3694393,0.02,1.459,0.583,0.316,0.006
03201980,Little Raccoon Creek near Ewington OH,256.6818,13.86,101.8031847,0.14,1.543,0.581,1.228,0.085
03202000,Raccoon Creek at Adamsville OH,1516.253,22.76,603.9068911,0.04,1.442,0.587,0.646,0.034
03202400,"GUYANDOTTE RIVER NEAR BAILEYSVILLE, WV",792.7677,25.46,394.9517151,0.06,1.576,0.745,1.094,0.007
03202750,"CLEAR FORK AT CLEAR FORK, WV",327.1086,0.00,162.8635775,0.00,1.250,0.843,1.140,0.000
